timestamp,content_airframe_registration,content_airframe_type_icao_value,content_airframe_wtc,content_arrival_aerodrome_actual_icao_value,content_arrival_aerodrome_scheduled_icao_value,content_arrival_time_inBlock_actual,content_arrival_time_landing_estimated,content_arrival_time_landing_scheduled,content_carrier_icao_quality,content_carrier_icao_value,content_departure_aerodrome_actual_icao_value,content_departure_aerodrome_scheduled_icao_value,content_departure_time_offBlock_estimated,content_departure_time_takeoff_actual,content_departure_time_takeoff_planned,content_departure_time_takeoff_scheduled,content_gufi,content_identification_callsign_quality,content_identification_callsign_value,content_identification_iataFlightNumber_quality,content_identification_iataFlightNumber_value,content_identification_squawk,content_movement_altitude_gps,content_movement_direction_heading,content_movement_position_lat,content_movement_position_lon,content_movement_speed_ground,content_movement_timestamp,content_movement_type,content_route_cruisingAltitude,content_route_cruisingSpeed,content_route_initialFlightRules,content_route_text,content_status
2017-03-01T23:00:42.251Z,,DH8D,MEDIUM,,EGCC,,2017-03-01T15:50:00Z,2017-03-01T15:50:00Z,DERIVED,BEE,,EGPD,,,2017-03-01T14:50:00Z,2017-03-01T14:50:00Z,2eb094ba-eeca-49ed-92d6-25c0f595b86c,,,DERIVED,BE1040,,,,,,,,,,231,,,SCHEDULED
2017-03-01T22:31:07.577Z,,E170,MEDIUM,,EGBB,,2017-03-01T22:05:00Z,2017-03-01T22:05:00Z,DERIVED,BEE,,EGPF,,,2017-03-01T21:15:00Z,2017-03-01T21:15:00Z,ae54ae34-d6e5-4620-96eb-21e5f931f876,,,DERIVED,BE795,,,,,,,,,,271,,,SCHEDULED
2017-03-01T23:27:09.090Z,GFBEM,E190,MEDIUM,EGPF,,,2017-03-01T22:01:00Z,,RECEIVED,BEE,EGFF,,2017-03-01T20:45:00Z,,,,d4e572d9-2c8f-48fd-8efb-dfad1940b388,RECEIVED,BEE1NP,,,,,,,,,,,,,IFR,N0347F230 BCN/N0345F240 N864 NITON/N0377F280 UP17 NOKIN UP16 RIBEL/N0324F190,PLANNED
2017-03-01T23:53:05.282Z,GJECY,DH8D,MEDIUM,EGPH,,,2017-03-01T21:17:00Z,,RECEIVED,BEE,EGAC,,2017-03-01T20:20:00Z,,,,4203f897-dd1e-4d52-b398-c868effb3806,RECEIVED,BEE3TJ,,,,,,,,,,,,,IFR,N0307F170 DCT MAGEE DCT BLACA,PLANNED
2017-03-01T22:33:37.965Z,,DH8D,MEDIUM,,EGAC,,2017-03-01T17:40:00Z,2017-03-01T17:40:00Z,DERIVED,BEE,,EGNX,,,2017-03-01T16:55:00Z,2017-03-01T16:55:00Z,3b64078e-d0fa-4107-94e9-8eace515d55f,,,DERIVED,BE366,,,,,,,,,,259,,,SCHEDULED
2017-03-01T23:26:33.958Z,,E170,MEDIUM,,EGCC,,2017-03-01T16:30:00Z,2017-03-01T16:30:00Z,DERIVED,BEE,,EGHQ,,,2017-03-01T15:45:00Z,2017-03-01T15:45:00Z,95effa20-eb19-4620-afc7-075094aeff33,,,DERIVED,BE354,,,,,,,,,,269,,,SCHEDULED
2017-03-01T23:27:02.287Z,GFLBB,DH8D,MEDIUM,EGNT,,,2017-03-01T15:05:00Z,,RECEIVED,BEE,EGHI,,2017-03-01T13:40:00Z,,,,e190ab00-7044-4066-9010-14962c024ff0,RECEIVED,BEE9KF,,,,,,,,,,,,,IFR,N0255F070 DCT NORRY/N0288F110 Q41 WCO/N0316F240 DCT DTY Y250 GASKO P18 NATEB DCT,PLANNED
2017-03-01T22:34:43.532Z,GFBEK,E190,MEDIUM,EGBB,,,2017-02-28T10:36:00Z,,RECEIVED,BEE,EGPH,,2017-02-28T09:30:00Z,,,,575247e9-3bef-4c38-884d-816998568937,RECEIVED,BEE2FD,,,,,,,,,,,,,IFR,N0360F260 GOSAM P600 FENIK/N0373F270 UL612 CROFT/N0322F190,PLANNED
2017-03-01T23:58:31.534Z,GJEDM,DH8D,MEDIUM,EGHI,,,2017-03-01T15:08:00Z,,RECEIVED,BEE,EGPH,,2017-03-01T13:30:00Z,,,,1d73a569-6098-4cba-b8a5-db94d74a6dad,RECEIVED,BEE6DY,,,,,,,,,,,,,IFR,N0320F250 TLA N864 DCS UN864 SUBUK DCT KEPAD UL151 TELBA/N0261F200 L151 PEPUL,PLANNED
2017-03-01T22:34:44.439Z,,,,,,,,,DERIVED,BEE,,,,,,,4e96186d-165d-4fbc-b1bf-33dbfa2cae9a,RECEIVED,BEE852,,,,,178,52.45386,-1.74803,,2017-02-28T23:46:01Z,ESTIMATED,,,,,AIRBORNE
2017-03-01T23:32:59.989Z,,DH8D,MEDIUM,,EGBB,,2017-03-01T13:30:00Z,2017-03-01T13:30:00Z,DERIVED,BEE,,EHAM,,,2017-03-01T12:25:00Z,2017-03-01T12:25:00Z,d22d7d27-12f8-47bb-841b-11744e60bec3,,,DERIVED,BE104,,,,,,,,,,221,,,SCHEDULED
2017-03-01T23:00:26.084Z,,DH8D,MEDIUM,,EGTE,,2017-03-01T21:25:00Z,2017-03-01T21:25:00Z,DERIVED,BEE,,EGCC,,,2017-03-01T20:40:00Z,2017-03-01T20:40:00Z,11efefae-5ba5-4208-936e-1763b7bac45f,,,DERIVED,BE378,,,,,,,,,,218,,,SCHEDULED
